"STATION","NAME","DATE","TMAX","TMIN"
"USC00040693","BERKELEY, CA US","2022-05-21","78","49"
"USC00040693","BERKELEY, CA US","2022-05-22","81","51"
"USC00040693","BERKELEY, CA US","2022-05-23","86","52"
"USC00040693","BERKELEY, CA US","2022-05-24","75","53"
"USC00040693","BERKELEY, CA US","2022-05-25","65","52"
"USC00040693","BERKELEY, CA US","2022-05-26","66","52"
"USC00040693","BERKELEY, CA US","2022-05-27","67","53"
"USC00040693","BERKELEY, CA US","2022-05-28","74","48"
"USC00040693","BERKELEY, CA US","2022-05-29","73","49"
"USC00040693","BERKELEY, CA US","2022-05-30","78","48"
"USC00040693","BERKELEY, CA US","2022-05-31","75","49"
"USC00040693","BERKELEY, CA US","2022-06-01","73","53"
"USC00040693","BERKELEY, CA US","2022-06-02","70","53"
"USC00040693","BERKELEY, CA US","2022-06-03","70","55"
"USC00040693","BERKELEY, CA US","2022-06-04","70","61"
"USC00040693","BERKELEY, CA US","2022-06-05","78","53"
"USC00040693","BERKELEY, CA US","2022-06-06","70","52"
"USC00040693","BERKELEY, CA US","2022-06-07","78","56"
"USC00040693","BERKELEY, CA US","2022-06-08","88","54"
"USC00040693","BERKELEY, CA US","2022-06-09","93","61"
"USC00040693","BERKELEY, CA US","2022-06-10","82","60"
"USC00040693","BERKELEY, CA US","2022-06-11","67","57"
"USC00040693","BERKELEY, CA US","2022-06-12","78","53"
"USC00040693","BERKELEY, CA US","2022-06-13","81","55"
"USC00040693","BERKELEY, CA US","2022-06-14","79","54"
"USC00040693","BERKELEY, CA US","2022-06-15","75","54"
"USC00040693","BERKELEY, CA US","2022-06-16","68","53"
"USC00040693","BERKELEY, CA US","2022-06-17","74","51"
"USC00040693","BERKELEY, CA US","2022-06-18","79","53"
"USC00040693","BERKELEY, CA US","2022-06-19","83","53"
"USC00040693","BERKELEY, CA US","2022-06-20","102","61"
"USC00040693","BERKELEY, CA US","2022-06-21","81","58"
"USC00040693","BERKELEY, CA US","2022-06-22","77","56"
"USC00040693","BERKELEY, CA US","2022-06-23","73","52"
"USC00040693","BERKELEY, CA US","2022-06-24","72","52"
"USC00040693","BERKELEY, CA US","2022-06-25","73","55"
"USC00040693","BERKELEY, CA US","2022-06-26","73","55"
"USC00040693","BERKELEY, CA US","2022-06-27","82","53"
"USC00040693","BERKELEY, CA US","2022-06-28","72","55"
"USC00040693","BERKELEY, CA US","2022-06-29","70","54"
"USC00040693","BERKELEY, CA US","2022-06-30","71","53"
"USC00040693","BERKELEY, CA US","2022-07-01","62","53"
"USC00040693","BERKELEY, CA US","2022-07-02","68","55"
"USC00040693","BERKELEY, CA US","2022-07-03","75","56"
"USC00040693","BERKELEY, CA US","2022-07-04","74","62"
"USC00040693","BERKELEY, CA US","2022-07-05","73","60"
"USC00040693","BERKELEY, CA US","2022-07-06","73","57"
"USC00040693","BERKELEY, CA US","2022-07-07","75","55"
"USC00040693","BERKELEY, CA US","2022-07-08","73","56"
"USC00040693","BERKELEY, CA US","2022-07-09","80","57"
"USC00040693","BERKELEY, CA US","2022-07-10","76","56"
"USC00040693","BERKELEY, CA US","2022-07-11","70","57"
"USC00040693","BERKELEY, CA US","2022-07-12","73","58"
"USC00040693","BERKELEY, CA US","2022-07-13","77","57"
"USC00040693","BERKELEY, CA US","2022-07-14","79","55"
"USC00040693","BERKELEY, CA US","2022-07-15","77","53"
"USC00040693","BERKELEY, CA US","2022-07-16","72","55"
"USC00040693","BERKELEY, CA US","2022-07-17","74","54"
"USC00040693","BERKELEY, CA US","2022-07-18","72","53"
"USC00040693","BERKELEY, CA US","2022-07-19","73","54"
"USC00040693","BERKELEY, CA US","2022-07-20","72","53"
"USC00040693","BERKELEY, CA US","2022-07-21","75","54"
"USC00040693","BERKELEY, CA US","2022-07-22","71","53"
"USC00040693","BERKELEY, CA US","2022-07-23","68","52"
"USC00040693","BERKELEY, CA US","2022-07-24","70","54"
"USC00040693","BERKELEY, CA US","2022-07-25","71","57"
"USC00040693","BERKELEY, CA US","2022-07-26","71","57"
"USC00040693","BERKELEY, CA US","2022-07-27","72","55"
"USC00040693","BERKELEY, CA US","2022-07-28","75","57"
"USC00040693","BERKELEY, CA US","2022-07-29","73","59"
"USC00040693","BERKELEY, CA US","2022-07-30","68","58"
"USC00040693","BERKELEY, CA US","2022-07-31","77","59"
"USC00040693","BERKELEY, CA US","2022-08-01","77","57"
"USC00040693","BERKELEY, CA US","2022-08-02","76","58"
"USC00040693","BERKELEY, CA US","2022-08-03","75","57"
"USC00040693","BERKELEY, CA US","2022-08-04","73","61"
"USC00040693","BERKELEY, CA US","2022-08-05","75","61"
"USC00040693","BERKELEY, CA US","2022-08-06","75","59"
"USC00040693","BERKELEY, CA US","2022-08-07","78","58"
"USC00040693","BERKELEY, CA US","2022-08-08","76","60"
"USC00040693","BERKELEY, CA US","2022-08-09","77","60"
"USC00040693","BERKELEY, CA US","2022-08-10","79","61"
"USC00040693","BERKELEY, CA US","2022-08-11","82","59"
"USC00040693","BERKELEY, CA US","2022-08-12","82","58"
"USC00040693","BERKELEY, CA US","2022-08-13","81","56"
"USC00040693","BERKELEY, CA US","2022-08-14","80","56"
"USC00040693","BERKELEY, CA US","2022-08-15","84","54"
"USC00040693","BERKELEY, CA US","2022-08-16","72","57"
"USC00040693","BERKELEY, CA US","2022-08-17","74","54"
"USC00040693","BERKELEY, CA US","2022-08-18","78","58"
"USC00040693","BERKELEY, CA US","2022-08-19","77","56"
"USC00040693","BERKELEY, CA US","2022-08-20","74","56"
"USC00040693","BERKELEY, CA US","2022-08-21","88","57"
"USC00040693","BERKELEY, CA US","2022-08-22","81","58"
"USC00040693","BERKELEY, CA US","2022-08-23","73","58"
"USC00040693","BERKELEY, CA US","2022-08-24","72","58"
"USC00040693","BERKELEY, CA US","2022-08-25","73","57"
"USC00040693","BERKELEY, CA US","2022-08-26","71","55"
"USC00040693","BERKELEY, CA US","2022-08-27","74","59"
"USC00040693","BERKELEY, CA US","2022-08-28","72","57"
"USC00040693","BERKELEY, CA US","2022-08-29","74","57"
"USC00040693","BERKELEY, CA US","2022-08-30","77","58"
"USC00040693","BERKELEY, CA US","2022-08-31","79","56"
"USC00040693","BERKELEY, CA US","2022-09-01","81","55"
"USC00040693","BERKELEY, CA US","2022-09-02","88","58"
"USC00040693","BERKELEY, CA US","2022-09-03","92","58"
"USC00040693","BERKELEY, CA US","2022-09-04","99","63"
"USC00040693","BERKELEY, CA US","2022-09-05","106","68"
"USC00040693","BERKELEY, CA US","2022-09-06","91","64"
"USC00040693","BERKELEY, CA US","2022-09-07","94","63"
"USC00040693","BERKELEY, CA US","2022-09-08","81","57"
"USC00040693","BERKELEY, CA US","2022-09-09","70","60"
"USC00040693","BERKELEY, CA US","2022-09-10","81","63"
"USC00040693","BERKELEY, CA US","2022-09-11","78","61"
"USC00040693","BERKELEY, CA US","2022-09-12","72","59"
"USC00040693","BERKELEY, CA US","2022-09-13","72","59"
"USC00040693","BERKELEY, CA US","2022-09-14","72","59"
"USC00040693","BERKELEY, CA US","2022-09-15","75","58"
"USC00040693","BERKELEY, CA US","2022-09-16","72","57"
"USC00040693","BERKELEY, CA US","2022-09-17","69","61"
"USC00040693","BERKELEY, CA US","2022-09-18","75","59"
"USC00040693","BERKELEY, CA US","2022-09-19","77","55"
"USC00040693","BERKELEY, CA US","2022-09-20","74","58"
"USC00040693","BERKELEY, CA US","2022-09-21","80","56"
"USC00040693","BERKELEY, CA US","2022-09-22","87","57"
"USC00040693","BERKELEY, CA US","2022-10-01","67","57"
"USC00040693","BERKELEY, CA US","2022-10-02","73","54"
"USC00040693","BERKELEY, CA US","2022-10-03","75","55"
"USC00040693","BERKELEY, CA US","2022-10-04","74","54"
"USC00040693","BERKELEY, CA US","2022-10-05","73","53"
"USC00040693","BERKELEY, CA US","2022-10-06","73","53"
"USC00040693","BERKELEY, CA US","2022-10-07","74","54"
"USC00040693","BERKELEY, CA US","2022-10-08","69","53"
"USC00040693","BERKELEY, CA US","2022-10-09","68","55"
"USC00040693","BERKELEY, CA US","2022-10-10","70","53"
"USC00040693","BERKELEY, CA US","2022-10-11","68","54"
"USC00040693","BERKELEY, CA US","2022-10-12","66","55"
"USC00040693","BERKELEY, CA US","2022-10-13","70","54"
"USC00040693","BERKELEY, CA US","2022-10-14","67","54"
"USC00040693","BERKELEY, CA US","2022-10-15","62","57"
"USC00040693","BERKELEY, CA US","2022-10-16","66","52"
"USC00040693","BERKELEY, CA US","2022-10-17","72","53"
"USC00040693","BERKELEY, CA US","2022-10-18","84","57"
"USC00040693","BERKELEY, CA US","2022-10-19","89","54"
"USC00040693","BERKELEY, CA US","2022-10-20","72","53"
"USC00040693","BERKELEY, CA US","2022-10-21","64","54"
"USC00040693","BERKELEY, CA US","2022-10-22","71","48"
"USC00040693","BERKELEY, CA US","2022-10-23","73","49"
